Promotion,Brand,Product Name,Size,Retail Price,Quantity On Hand,Avail In-House,Available Thru Affiliate,Category,,,
BUY 1 + GET 1 ANFISA 1/2 OFF,ANFISA,"ANFISA: BALM, small",15ml,$59.00,9,Yes,Yes,Moisturizers,Travel Size,,
,ANFISA,"ANFISA: BALM, large",50ml,$150.00,0,No,Yes,Moisturizers,,,
,ANFISA,"ANFISA: DEW, small 30ml",30ml,$125.00,0,No,Yes,Serums + Treatments,Travel Size,,
,ANFISA,"ANFISA: DEW, large 50ml",50ml,$196.00,0,No,Yes,Serums + Treatments,,,
BUY 1 + GET 1 ANFISA 1/2 OFF,ANFISA,"ANFISA: GLOSS, NATURAL",,$42.00,5,Yes,Yes,Lips,,,
BUY 1 + GET 1 ANFISA 1/2 OFF,ANFISA,"ANFISA: GLOSS, BERRY",,$42.00,7,Yes,Yes,Lips,,,
,,,,,,,,,,,
,CLEAN SKIN CLUB,Clean Skin Club: Disposable Face Towel for Improved Skin - XL - 50ct,XL - 50ct,$15.00,27,Yes,No,Tools + Accessories,,,
,,,,,,,,,,,
,CO2Lift,CO2Lift: Carboxy Mousse Moisturizer,,$245.00,4,Yes,No,Moisturizers,Serums + Treatments,,
,CO2Lift,CO2Lift: Pro 3-pack,,$283.00,4,Yes,No,Masks,Post-Procedure Recovery,Serums + Treatments,
,,,,,,,,,,,
,EPICUTIS,EPICUTIS: Lipid Shield SPF 30,,$90.00,9,Yes,Yes,Sunscreen,,,
,EPICUTIS,EPICUTIS: ABT Brightening Treatment,,$175.00,0,Yes,Yes,Serums + Treatments,,,
,EPICUTIS,EPICUTIS: Cleansing Set,,$105.00,5,Yes,Yes,Cleansers,,,
,EPICUTIS,EPICUTIS: Hydrobiome Spray,,$75.00,5,Yes,Yes,Mists,,,
,EPICUTIS,EPICUTIS: Hyvia Crème,,$195.00,7,Yes,Yes,Moisturizers,,,
,EPICUTIS,EPICUTIS: Lipid Body Treatment,,$225.00,1,Yes,Yes,Body Treatments,,,
,EPICUTIS,EPICUTIS: Lipid Serum,,$250.00,10,Yes,Yes,Serums + Treatments,Post-Procedure Recovery,,
,EPICUTIS,EPICUTIS: Luxury skincare set,,$395.00,3,Yes,Yes,Moisturizers,Sets,Serums + Treatments,Post-Procedure Recovery
,EPICUTIS,EPICUTIS: MASK - Eye Set,,$105.00,6,Yes,Yes,Masks,Sets,Eyes,Post-Procedure Recovery
,EPICUTIS,EPICUTIS: MASK - Face Set,,$125.00,4,Yes,Yes,Masks,Sets,,Post-Procedure Recovery
,EPICUTIS,EPICUTIS: MASK - Neck + Decolete Set,,$140.00,3,Yes,Yes,Masks,Sets,Body Treatments,Post-Procedure Recovery
,EPICUTIS,EPICUTIS: Oil Cleanser,,$85.00,7,Yes,Yes,Cleansers,,,
,EPICUTIS,EPICUTIS: Recovery Kit,,$75.00,2,Yes,Yes,Travel,Serums + Treatments,Post-Procedure Recovery,
,,,,,,,,,,,
,IS CLINICAL,"IS CLINICAL Active Peel System, Two-step Gentle at-home Peel System for Face Exfoliation",,$96.00,4,Yes,No,Serums + Treatments,Exfoliants,,
,IS CLINICAL,IS Clinical Active Serum 30ml/1oz,,$92.00,2,Yes,No,Serums + Treatments,,,
,IS CLINICAL,IS CLINICAL Brightening Complex 1 Oz.,,$159.00,2,Yes,No,Serums + Treatments,,,
,IS CLINICAL,IS Clinical: Cleansing Complex 180ml/6oz,,$26.00,3,Yes,No,Cleansers,,,
,IS CLINICAL,IS Clinical Copper Firming Mist,,$42.00,3,Yes,No,Mists,,,
,IS CLINICAL,IS Clinical: Extreme Protect SPF 30 Sunscreen Creme,,$84.00,2,Yes,No,Sunscreen,,,
,IS CLINICAL,IS Clinical Hydra Cool Serum 30ml,,$67.00,2,Yes,No,Serums + Treatments,,,
,IS CLINICAL,IS ClinicalPro-Heal Serum Advance 30ml/1oz,,$99.00,2,Yes,No,Serums + Treatments,,,
,IS CLINICAL,"Is Clinical: Reparative Moisture Emulsion, 1.7 Oz",,$110.00,4,Yes,No,Moisturizers,,,
,IS CLINICAL,IS Clinical Retinol Emulsion 0.3 Reduce Fine Lines and Wrinkles Smooths Appearance Helps Brighten Complexion,,$110.00,2,Yes,No,Serums + Treatments,Retinols,,
,IS CLINICAL,"IS CLINICAL: Sheald, .5oz",,$31.00,2,Yes,No,Moisturizers,Post-Procedure Recovery,Travel Size,
,,,,,,,,,,,
,FACTOR FIVE,"FACTOR FIVE: Silk, Mini 10ml",10ml,$65.00,6,Yes,No,Serums + Treatments,Post-Procedure Recovery,Travel Size,
,FACTOR FIVE,"FACTOR FIVE: Silk, Full Size 30ml",30ml,$189.00,6,Yes,No,Serums + Treatments,Post-Procedure Recovery,,
,FACTOR FIVE,"FACTOR FIVE: Anti-Aging Cream, Full Size 30ml",30ml,$189.00,1,Yes,No,Moisturizers,,,
,FACTOR FIVE,"FACTOR FIVE: Regenerative Serum, Full Size 30ml",30ml,$199.00,1,Yes,No,Serums + Treatments,,,
,,,,,,,,,,,
40% OFF - SUMMER CLEARANCE,Evan Healy,EVAN HEALY: Immortelle Hydrosoul,,$32.00,2,Yes,No,Mists,,,
40% OFF - SUMMER CLEARANCE,Evan Healy,EVAN HEALY: Immortelle Serum,,$40.00,1,Yes,No,Serums + Treatments,,,
40% OFF - SUMMER CLEARANCE,Evan Healy,EVAN HEALY: Lavender Hydrosoul,,$32.00,1,Yes,No,Mists,,,
40% OFF - SUMMER CLEARANCE,Evan Healy,EVAN HEALY: Lavender Moisturizer,,$47.00,1,Yes,No,Moisturizers,,,
40% OFF - SUMMER CLEARANCE,Evan Healy,EVAN HEALY: Pomegranate Serum,,$52.00,0,Yes,No,Serums + Treatments,,,
40% OFF - SUMMER CLEARANCE,Evan Healy,EVAN HEALY: Rose Geranium Hydrosoul,,$32.00,1,Yes,No,Mists,,,
,,,,,,,,,,,
40% OFF - SUMMER CLEARANCE,HydroPeptide,HYDROPEPTIDE: Daily Drench / hyaluronic acid,,$79.00,1,Yes,No,Serums + Treatments,,,
,HydroPeptide,HYDROPEPTIDE:  LipLock Hydrator Peptide Infused Lip Mask,,$42.00,6,Yes,No,Lips,,,
,HydroPeptide,HYDROPEPTIDE: Pre-Treatment Toner,,$47.00,0,No,No,,,,
40% OFF - SUMMER CLEARANCE,Hydropeptide,HYDROPEPTIDE: Tinted Moisturizer with SPF30,,$57.00,2,Yes,No,Sunscreen,,,
